edition,year,noc,country_name,gold,silver,bronze,total_medals,iso3,gdp_per_capita,population,gni_per_capita,hdi,eurostat_recreation_pct_gdp,wvs_country,wvs_interpersonal_trust,wvs_confidence_govt,wvs_confidence_parties,wvs_national_pride,wvs_sport_org_membership,ess_social_trust,ess_trust_parliament,ess_trust_legal,ess_news_politics
1960 Summer Olympics,1960,RSA,South Africa,0,1,2,3,ZAF,532.147504330332,16440172.0,,0.635,,,,,,,,,,,
1960 Summer Olympics,1960,AUT,Austria,1,1,0,2,AUT,939.914814681174,7047539.0,,0.823,,,,,,,,5.0682122157824345,5.0572868927589365,6.0885675553547225,
1960 Summer Olympics,1960,YUG,Yugoslavia,1,1,0,2,SRB,,6638992.0,,0.689,,SRB,1.8338192419825072,3.05424769703173,3.392378990731205,2.956813819577735,2.0981404958677685,3.745704467353952,3.933502538071066,3.8753154972236246,30.715510522213563
1960 Summer Olympics,1960,PAK,Pakistan,1,0,1,2,PAK,82.0241000071912,45709310.0,,0.394,,PAK,1.765032844871147,2.2907511497189574,2.7645833333333334,3.15489404641776,2.580681818181818,,,,
1960 Summer Olympics,1960,ARG,Argentina,0,1,1,2,ARG,778.251706763404,20386045.0,,0.724,,ARG,1.7930672268907564,2.93502538071066,3.2577639751552794,2.5734265734265733,2.09853249475891,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,1203.87998018316,908257300.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,1203.87998018316,114749038.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,1203.87998018316,819316105.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,1203.87998018316,1149653372.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,104.622190033308,908257300.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,104.622190033308,114749038.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,104.622190033308,819316105.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,104.622190033308,1149653372.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,146.39297675606,908257300.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,146.39297675606,114749038.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,146.39297675606,819316105.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,UAR,United Arab Republic,0,1,1,2,,146.39297675606,1149653372.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,BRA,Brazil,0,0,2,2,BRA,235.266009502589,72388126.0,,0.62,,BRA,1.9335260115606936,3.2901162790697676,3.5303995367689636,2.2536106296938185,1.7263411693791442,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,1203.87998018316,908257300.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,1203.87998018316,114749038.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,1203.87998018316,819316105.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,1203.87998018316,1149653372.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,104.622190033308,908257300.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,104.622190033308,114749038.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,104.622190033308,819316105.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,104.622190033308,1149653372.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,146.39297675606,908257300.0,,,,,,,,,,,,,
1960 Summer Olympics,1960,WIF,West Indies Federation,0,0,2,2,,146.39297675606,114749038.0,,,,,,,,,,,,,
